,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
497,2019-05-13,3993.0614861122435,2308.023036541417,5714.7445148783745,3993.0614861122435,3993.0614861122435,0.0,0.0,0.0,0.0,0.0,0.0,3993.0614861122435
498,2019-05-14,3994.1237735623636,2205.721831579879,5702.97103886841,3994.1237735623636,3994.1237735623636,0.0,0.0,0.0,0.0,0.0,0.0,3994.1237735623636
499,2019-05-15,3995.1860610124836,2243.9003649102146,5654.8992355953305,3995.1860610124836,3995.1860610124836,0.0,0.0,0.0,0.0,0.0,0.0,3995.1860610124836
500,2019-05-16,3996.248348462604,2308.4047729955278,5703.022409599197,3996.248348462604,3996.248348462604,0.0,0.0,0.0,0.0,0.0,0.0,3996.248348462604
501,2019-05-17,3997.310635912724,2322.4664072601636,5804.6440646854035,3997.310635912724,3997.310635912724,0.0,0.0,0.0,0.0,0.0,0.0,3997.310635912724
502,2019-05-18,3998.372923362844,2259.7450444197216,5744.973090429079,3998.372923362844,3998.372923362844,0.0,0.0,0.0,0.0,0.0,0.0,3998.372923362844
503,2019-05-19,3999.4352108129647,2276.5945312922304,5806.712494184311,3999.4352108129647,3999.4352108129647,0.0,0.0,0.0,0.0,0.0,0.0,3999.4352108129647
504,2019-05-20,4000.4974982630847,2208.825049426749,5759.551668672658,4000.4974982630847,4000.4974982630847,0.0,0.0,0.0,0.0,0.0,0.0,4000.4974982630847
505,2019-05-21,4001.5597857132047,2165.470374254165,5760.942659860374,4001.5597857132047,4001.5597857132047,0.0,0.0,0.0,0.0,0.0,0.0,4001.5597857132047
506,2019-05-22,4002.6220731633252,2303.8035090865737,5804.4517867373925,4002.6220731633252,4002.6220731633252,0.0,0.0,0.0,0.0,0.0,0.0,4002.6220731633252
507,2019-05-23,4003.6843606134453,2073.9946862259235,5770.828026136038,4003.6843606134453,4003.6843606134453,0.0,0.0,0.0,0.0,0.0,0.0,4003.6843606134453
508,2019-05-24,4004.7466480635653,2201.3789240780047,5720.022827932685,4004.7466480635653,4004.7466480635653,0.0,0.0,0.0,0.0,0.0,0.0,4004.7466480635653
509,2019-05-25,4005.808935513686,2163.6943230371576,5806.202585070491,4005.808935513686,4005.808935513686,0.0,0.0,0.0,0.0,0.0,0.0,4005.808935513686
510,2019-05-26,4006.871222963806,2312.9934649894794,5701.94121302093,4006.871222963806,4006.871222963806,0.0,0.0,0.0,0.0,0.0,0.0,4006.871222963806
511,2019-05-27,4007.933510413926,2259.4000352233134,5820.652289905453,4007.933510413926,4007.933510413926,0.0,0.0,0.0,0.0,0.0,0.0,4007.933510413926
512,2019-05-28,4008.9957978640464,2095.4351788641075,5752.266154078656,4008.9957978640464,4008.9957978640464,0.0,0.0,0.0,0.0,0.0,0.0,4008.9957978640464
513,2019-05-29,4010.058085314166,2172.790762963762,5759.946406470174,4010.058085314166,4010.058085314166,0.0,0.0,0.0,0.0,0.0,0.0,4010.058085314166
514,2019-05-30,4011.1203727642865,2257.7889254730976,5785.127688787297,4011.1203727642865,4011.1203727642865,0.0,0.0,0.0,0.0,0.0,0.0,4011.1203727642865
515,2019-05-31,4012.1826602144065,2267.4928053508484,5642.562376694981,4012.1826602144065,4012.1826602144065,0.0,0.0,0.0,0.0,0.0,0.0,4012.1826602144065
516,2019-06-01,4013.244947664527,2268.1513535540253,5741.677845284989,4013.244947664527,4013.244947664527,0.0,0.0,0.0,0.0,0.0,0.0,4013.244947664527
517,2019-06-02,4014.3072351146466,2247.3142892943956,5824.528553228031,4014.3072351146466,4014.3072351146466,0.0,0.0,0.0,0.0,0.0,0.0,4014.3072351146466
518,2019-06-03,4015.3695225647675,2294.3702401431638,5839.044757771671,4015.3695225647675,4015.3695225647675,0.0,0.0,0.0,0.0,0.0,0.0,4015.3695225647675
519,2019-06-04,4016.431809658234,2239.823962707362,5873.618011603109,4016.431809658234,4016.431809658234,0.0,0.0,0.0,0.0,0.0,0.0,4016.431809658234
520,2019-06-05,4017.4940967517005,2296.2559921562556,5804.387622934236,4017.4940967517005,4017.4940967517005,0.0,0.0,0.0,0.0,0.0,0.0,4017.4940967517005
521,2019-06-06,4018.556383845167,2205.6163019825544,5768.576970763469,4018.556383845167,4018.556383845167,0.0,0.0,0.0,0.0,0.0,0.0,4018.556383845167
522,2019-06-07,4019.618670938634,2277.416289012558,5832.284152675659,4019.618670938634,4019.618670938634,0.0,0.0,0.0,0.0,0.0,0.0,4019.618670938634
523,2019-06-08,4020.6809580321005,2316.240331016531,5847.00970271259,4020.6809580321005,4020.6809580321005,0.0,0.0,0.0,0.0,0.0,0.0,4020.6809580321005
524,2019-06-09,4021.743245125567,2230.99072780459,5855.55277127741,4021.743245125567,4021.743245125567,0.0,0.0,0.0,0.0,0.0,0.0,4021.743245125567
525,2019-06-10,4022.8055322190335,2301.596661561679,5781.905221255763,4022.8055322190335,4022.8055322190335,0.0,0.0,0.0,0.0,0.0,0.0,4022.8055322190335
526,2019-06-11,4023.8678193125,2253.537416354756,5740.730178958335,4023.8678193125,4023.8678193125,0.0,0.0,0.0,0.0,0.0,0.0,4023.8678193125
527,2019-06-12,4024.930106405967,2275.373017328033,5831.850873516981,4024.930106405967,4024.930106405967,0.0,0.0,0.0,0.0,0.0,0.0,4024.930106405967
528,2019-06-13,4025.992393499433,2291.4933341613773,5699.689187337643,4025.992393499433,4025.992393499433,0.0,0.0,0.0,0.0,0.0,0.0,4025.992393499433
529,2019-06-14,4027.0546805929,2155.9019086151093,5814.696234306501,4027.0546805929,4027.0546805929,0.0,0.0,0.0,0.0,0.0,0.0,4027.0546805929
530,2019-06-15,4028.1169676863665,2181.5799786087787,5660.502837978278,4028.1169676863665,4028.1169676863665,0.0,0.0,0.0,0.0,0.0,0.0,4028.1169676863665
531,2019-06-16,4029.179254779833,2396.8497516698912,5830.649765370241,4029.179254779833,4029.179254779833,0.0,0.0,0.0,0.0,0.0,0.0,4029.179254779833
532,2019-06-17,4030.2415418733,2286.151169785748,5897.789184529999,4030.2415418733,4030.2415418733,0.0,0.0,0.0,0.0,0.0,0.0,4030.2415418733
533,2019-06-18,4031.303828966766,2269.864716554831,5701.94803584178,4031.303828966766,4031.303828966766,0.0,0.0,0.0,0.0,0.0,0.0,4031.303828966766
534,2019-06-19,4032.366116060233,2428.99703563654,5869.810427967423,4032.366116060233,4032.366116060233,0.0,0.0,0.0,0.0,0.0,0.0,4032.366116060233
535,2019-06-20,4033.4284031536995,2313.546834193504,5772.168043611157,4033.4284031536995,4033.4284031536995,0.0,0.0,0.0,0.0,0.0,0.0,4033.4284031536995
536,2019-06-21,4034.490690247166,2221.7751700758467,5852.31142616722,4034.490690247166,4034.490690247166,0.0,0.0,0.0,0.0,0.0,0.0,4034.490690247166
537,2019-06-22,4035.5529773406324,2356.413657561443,5803.959630127004,4035.5529773406324,4035.5529773406324,0.0,0.0,0.0,0.0,0.0,0.0,4035.5529773406324
538,2019-06-23,4036.615264434099,2360.7688881019294,5808.319373731211,4036.615264434099,4036.615264434099,0.0,0.0,0.0,0.0,0.0,0.0,4036.615264434099
539,2019-06-24,4037.677551527566,2317.7585947932866,5813.633884455252,4037.677551527566,4037.677551527566,0.0,0.0,0.0,0.0,0.0,0.0,4037.677551527566
540,2019-06-25,4038.7398386210325,2336.6844643414474,5779.26952270721,4038.7398386210325,4038.7398386210325,0.0,0.0,0.0,0.0,0.0,0.0,4038.7398386210325
541,2019-06-26,4039.8021257144987,2255.2935459582513,5735.275832965976,4039.8021257144987,4039.8021257144987,0.0,0.0,0.0,0.0,0.0,0.0,4039.8021257144987
542,2019-06-27,4040.8644128079654,2330.0093753253013,5751.3604313274645,4040.8644128079654,4040.8644128079654,0.0,0.0,0.0,0.0,0.0,0.0,4040.8644128079654
543,2019-06-28,4041.926699901432,2159.5739551130832,5662.111433279199,4041.926699901432,4041.926699901432,0.0,0.0,0.0,0.0,0.0,0.0,4041.926699901432
544,2019-06-29,4042.988986994899,2369.511988095732,5872.145338033559,4042.988986994899,4042.988986994899,0.0,0.0,0.0,0.0,0.0,0.0,4042.988986994899
545,2019-06-30,4044.051274088366,2172.918982155409,5919.271295360004,4044.051274088366,4044.051274088366,0.0,0.0,0.0,0.0,0.0,0.0,4044.051274088366
546,2019-07-01,4045.1135611818318,2277.438577514808,5722.381716264559,4045.1135611818318,4045.1135611818318,0.0,0.0,0.0,0.0,0.0,0.0,4045.1135611818318
547,2019-07-02,4046.175848275299,2303.96989307097,5888.00062023101,4046.175848275299,4046.175848275299,0.0,0.0,0.0,0.0,0.0,0.0,4046.175848275299
548,2019-07-03,4047.238135368765,2248.831054685958,5575.1760317382295,4047.238135368765,4047.238135368765,0.0,0.0,0.0,0.0,0.0,0.0,4047.238135368765
549,2019-07-04,4048.3004224622323,2330.977539462723,5963.826504421806,4048.3004224622323,4048.3004224622323,0.0,0.0,0.0,0.0,0.0,0.0,4048.3004224622323
550,2019-07-05,4049.362709555698,2206.528100897504,5753.463824082759,4049.362709555698,4049.362709555698,0.0,0.0,0.0,0.0,0.0,0.0,4049.362709555698
551,2019-07-06,4050.424996649165,2241.856378751267,5764.3526439341595,4050.424996649165,4050.424996649165,0.0,0.0,0.0,0.0,0.0,0.0,4050.424996649165
552,2019-07-07,4051.4872837426315,2320.7291807936963,5784.576733518551,4051.4872837426315,4051.4872837426315,0.0,0.0,0.0,0.0,0.0,0.0,4051.4872837426315
553,2019-07-08,4052.5355558687143,2326.5072670982822,5882.330785484754,4052.5355558687143,4052.5355558687143,0.0,0.0,0.0,0.0,0.0,0.0,4052.5355558687143
554,2019-07-09,4053.5838279947966,2324.1771314638063,5771.849085181221,4053.5838279947966,4053.5838279947966,0.0,0.0,0.0,0.0,0.0,0.0,4053.5838279947966
555,2019-07-10,4054.63210012088,2227.316258703485,5835.386943822083,4054.63210012088,4054.63210012088,0.0,0.0,0.0,0.0,0.0,0.0,4054.63210012088
